thisRow.t,notes,onset,text,color_angle,participant_id,task,
,,15.907074399990961,mauve,280,lc,describe,
,,24.657323899999028,rouge leger orange,0,lc,describe,
,,32.53595289999794,vert jaunissant,80,lc,describe,
,,39.29039229999762,turquoise,184,lc,describe,
,,56.98231569999189,bleu léger léger mauve,216,lc,describe,
,,68.74051869999676,turquoise tire vers le vert,144,lc,describe,
,,82.3394244999945,orange un tout petit peu jaune,24,lc,describe,
,,92.19445729999279,vert flashy,128,lc,describe,
,,99.83637209999142,orange tout petit peu rouge,16,lc,describe,
,,109.64903570000024,mauve léger fushia,296,lc,describe,
,,123.84548519999953,bleu quasi pur,208,lc,describe,
,,131.50314600000274,bleu légier violet,232,lc,describe,
,,137.23468579999462,vert un poil jaune,112,lc,describe,
,,141.9571513999981,vert un poil jaune,120,lc,describe,
,,153.42147719999775,rose un peu rouge,336,lc,describe,
,,156.65684650000185,jauen pur,64,lc,describe,
,,167.49900830000115,turquoise plus vers le bleu,168,lc,describe,
,,178.61820699999225,violet bleu,240,lc,describe,
,,182.9142262999958,orange rouge,8,lc,describe,
,,189.8659573999903,violet bleu,224,lc,describe,
,,206.79988589999266,vert jaunatre,96,lc,describe,
,,216.13024679999216,rose orangé,352,lc,describe,
,,222.75779639999382,mauve parfait,272,lc,describe,
,,229.88886939999065,vert un poil jaune,88,lc,describe,
,,237.73440649999247,turquoise,152,lc,describe,
,,241.93637539999327,orange parfait,32,lc,describe,
,,248.56735389999812,bleu un peu turquoise,192,lc,describe,
,,253.94524139999703,fuschia,328,lc,describe,
,,263.0872980999993,bleu un peu turquoise,176,lc,describe,
,,272.57862299999397,bleu turquoise,160,lc,describe,
,,279.4236462999979,violet,256,lc,describe,
,,284.6102766999975,fuschia rosé,320,lc,describe,
,,298.082571299994,vert,136,lc,describe,
,,302.9481472999905,rose,344,lc,describe,
,,307.0982465999987,mauve,248,lc,describe,
,,312.83191769999394,orange jaune,40,lc,describe,
,,319.5788246000011,mauve,288,lc,describe,
,,322.0055166999955,rose,312,lc,describe,
,,328.8800494999887,rose violet,304,lc,describe,
,,335.7662948999932,jaune verdatre,72,lc,describe,
,,339.2583033999981,jaune parfait,48,lc,describe,
,,352.89684669999406,vert un petit peu jaune,104,lc,describe,
,,363.2717122999893,bleu tirant vers le turquoise,200,lc,describe,
,,369.2553661999991,mauve,264,lc,describe,
,,372.9075184999965,jaune parfait,56,lc,describe,
