thisRow.t,notes,onset,selected,color_angle,participant_id,task,
,,27.707008700002916,-128.39153566168315,234,lc,match,
,,55.50574320000305,-65.93868269822778,297,lc,match,
,,85.89106500000344,-47.548575079347835,315,lc,match,
,,99.64162100000249,-99.54676692140384,261,lc,match,
,,113.27430879999883,-130.6012946450045,225,lc,match,
,,124.00880959999631,-2.250640897037543,0,lc,match,
,,141.5262548000028,-23.294563253894424,324,lc,match,
,,155.34267969999928,27.456742284599876,36,lc,match,
,,208.52644010000222,8.836591132408433,9,lc,match,
,,234.79403000000457,-55.59942371643346,306,lc,match,
,,252.4765919999918,-27.769947286060248,333,lc,match,
,,268.1102232999983,-18.27490516231601,342,lc,match,
,,278.84418649999134,-164.83110512878665,189,lc,match,
,,333.8953277999972,-104.20969131199448,243,lc,match,
,,345.8634854999982,-113.23350567051645,252,lc,match,
,,370.02965899999253,163.92251031694403,171,lc,match,
,,391.0966693999944,156.50143432404792,153,lc,match,
,,410.02951799999573,98.68975028913958,108,lc,match,
,,432.2301127999963,49.423813056943644,54,lc,match,
,,445.6636620999925,75.90106970860374,81,lc,match,
,,455.6134638999938,122.43255724645935,117,lc,match,
,,465.5308542999992,-179.75088948484708,180,lc,match,
,,481.1476851000043,142.1465804350169,144,lc,match,
,,491.04857329999504,117.67745079337578,126,lc,match,
,,502.19837139999436,40.79732049628063,45,lc,match,
,,519.6821389999968,52.78104622298353,63,lc,match,
,,538.8819400999928,162.01857030303597,162,lc,match,
,,557.365902599995,70.73473569081999,72,lc,match,
,,576.0643110999954,130.19204603696954,135,lc,match,
,,594.249326899997,-159.03017444753746,198,lc,match,
,,620.7502968000044,-73.69176866461841,288,lc,match,
,,631.0504852000013,81.98674815585844,90,lc,match,
,,642.1336546999955,-97.80018788418171,270,lc,match,
,,654.8010700000013,24.102234501161142,27,lc,match,
,,667.451017600004,-84.98202036136544,279,lc,match,
,,685.4178163000033,88.68610697550206,99,lc,match,
,,695.4512433000054,-151.9426107659091,207,lc,match,
,,705.3516995999962,17.810496387922033,18,lc,match,
,,717.8349803000019,-141.04850666100063,216,lc,match,
,,727.2526688999933,-9.377060694304353,351,lc,match,
